file,sponsored
3093804_raw_html.txt,0
845185_raw_html.txt,0
3370996_raw_html.txt,0
312396_raw_html.txt,0
3273416_raw_html.txt,0
182250_raw_html.txt,0
2724678_raw_html.txt,0
781426_raw_html.txt,0
2825110_raw_html.txt,0
3536138_raw_html.txt,0
2691934_raw_html.txt,0
1829422_raw_html.txt,0
1897377_raw_html.txt,1
2659012_raw_html.txt,0
3345740_raw_html.txt,0
2524765_raw_html.txt,0
3194600_raw_html.txt,0
1504653_raw_html.txt,0
3917978_raw_html.txt,0
866998_raw_html.txt,0
1809661_raw_html.txt,0
1073302_raw_html.txt,0
176325_raw_html.txt,0
1400828_raw_html.txt,0
1101588_raw_html.txt,0
824397_raw_html.txt,0
3884702_raw_html.txt,0
3637334_raw_html.txt,0
3894950_raw_html.txt,0
2281825_raw_html.txt,0
3365928_raw_html.txt,0
67350_raw_html.txt,0
1499224_raw_html.txt,0
1843107_raw_html.txt,0
4041828_raw_html.txt,0
2801041_raw_html.txt,0
548950_raw_html.txt,0
283261_raw_html.txt,0
3279553_raw_html.txt,0
1767762_raw_html.txt,1
1088048_raw_html.txt,0
1279964_raw_html.txt,1
581032_raw_html.txt,0
461932_raw_html.txt,1
1621898_raw_html.txt,0
3931426_raw_html.txt,0
1724298_raw_html.txt,0
1876214_raw_html.txt,0
1746514_raw_html.txt,0
3573444_raw_html.txt,0
2574087_raw_html.txt,0
1717660_raw_html.txt,0
2824117_raw_html.txt,0
735576_raw_html.txt,0
2176262_raw_html.txt,0
2057397_raw_html.txt,0
3349741_raw_html.txt,0
2283804_raw_html.txt,0
1063762_raw_html.txt,0
3159583_raw_html.txt,0
3780860_raw_html.txt,0
1517524_raw_html.txt,0
3743625_raw_html.txt,1
1149272_raw_html.txt,1
4008988_raw_html.txt,0
3599823_raw_html.txt,0
2299029_raw_html.txt,0
3799372_raw_html.txt,0
1776124_raw_html.txt,0
3245960_raw_html.txt,0
3358507_raw_html.txt,0
2126707_raw_html.txt,0
767338_raw_html.txt,1
824293_raw_html.txt,0
3618028_raw_html.txt,0
3585531_raw_html.txt,0
3653822_raw_html.txt,0
98418_raw_html.txt,0
3607798_raw_html.txt,0
1910200_raw_html.txt,1
3744931_raw_html.txt,0
2082530_raw_html.txt,0
1151161_raw_html.txt,0
2955616_raw_html.txt,0
2105208_raw_html.txt,0
286184_raw_html.txt,0
1010631_raw_html.txt,0
1187515_raw_html.txt,0
2584930_raw_html.txt,1
2357956_raw_html.txt,0
2414641_raw_html.txt,0
2275645_raw_html.txt,0
3857382_raw_html.txt,0
3392390_raw_html.txt,1
2108662_raw_html.txt,0
3206414_raw_html.txt,0
1340980_raw_html.txt,0
2430573_raw_html.txt,0
1332434_raw_html.txt,0
674188_raw_html.txt,0
2932857_raw_html.txt,0
381876_raw_html.txt,1
1023379_raw_html.txt,0
3611218_raw_html.txt,0
1123224_raw_html.txt,0
3962058_raw_html.txt,0
109785_raw_html.txt,0
626474_raw_html.txt,0
1402092_raw_html.txt,0
3859716_raw_html.txt,0
2586243_raw_html.txt,0
1763439_raw_html.txt,0
851462_raw_html.txt,0
3715324_raw_html.txt,0
1953658_raw_html.txt,0
791496_raw_html.txt,1
3291771_raw_html.txt,0
2605509_raw_html.txt,0
3400975_raw_html.txt,0
1097290_raw_html.txt,1
713674_raw_html.txt,0
2905016_raw_html.txt,0
3751256_raw_html.txt,0
2630234_raw_html.txt,0
3825607_raw_html.txt,0
804495_raw_html.txt,0
3385800_raw_html.txt,0
849313_raw_html.txt,0
2407975_raw_html.txt,0
998136_raw_html.txt,0
3541578_raw_html.txt,0
697012_raw_html.txt,1
2252934_raw_html.txt,0
2198046_raw_html.txt,0
1022420_raw_html.txt,0
2454885_raw_html.txt,0
1049433_raw_html.txt,0
637879_raw_html.txt,0
1806877_raw_html.txt,0
3193585_raw_html.txt,0
3536264_raw_html.txt,0
1540201_raw_html.txt,0
3289969_raw_html.txt,0
3454160_raw_html.txt,0
49933_raw_html.txt,0
2748500_raw_html.txt,0
348384_raw_html.txt,0
450459_raw_html.txt,0
583860_raw_html.txt,0
1124672_raw_html.txt,0
1216704_raw_html.txt,0
1498069_raw_html.txt,0
1624854_raw_html.txt,0
3278270_raw_html.txt,0
3457275_raw_html.txt,0
3189187_raw_html.txt,0
3219010_raw_html.txt,0
954816_raw_html.txt,0
592215_raw_html.txt,0
3593731_raw_html.txt,0
3268843_raw_html.txt,0
132565_raw_html.txt,0
1245944_raw_html.txt,0
2035711_raw_html.txt,0
1868268_raw_html.txt,1
2721363_raw_html.txt,0
3311553_raw_html.txt,0
999080_raw_html.txt,0
1853600_raw_html.txt,0
1445882_raw_html.txt,0
36694_raw_html.txt,0
1324713_raw_html.txt,0
1900995_raw_html.txt,0
2214234_raw_html.txt,0
544795_raw_html.txt,0
2543955_raw_html.txt,0
3432950_raw_html.txt,1
3859686_raw_html.txt,0
2079603_raw_html.txt,0
2239102_raw_html.txt,0
2390554_raw_html.txt,1
2803968_raw_html.txt,0
3218498_raw_html.txt,0
922922_raw_html.txt,0
927097_raw_html.txt,0
264592_raw_html.txt,0
844274_raw_html.txt,0
2489601_raw_html.txt,0
851148_raw_html.txt,0
234873_raw_html.txt,0
1675432_raw_html.txt,0
1092300_raw_html.txt,0
